timestamp,transformer_id,load_percentage,oil_temperature_c,winding_temperature_c,vibration_mm_s,dissolved_hydrogen_ppm,dissolved_acetylene_ppm,iso_forest_pred,anomaly_score,anomaly_flag
2026-06-02 07:00:00,TX-ALPHA-01,59.39,44.38,52.64,2.307,17.95,0.72,0,0.0522,0
2026-06-02 08:00:00,TX-ALPHA-01,66.99,44.49,57.65,2.451,46.66,1.24,0,0.0395,0
2026-06-02 09:00:00,TX-ALPHA-01,64.9,46.33,53.8,2.315,36.7,1.56,0,0.0671,0
2026-06-02 10:00:00,TX-ALPHA-01,79.12,58.69,73.92,2.634,24.05,0.85,0,0.1845,0
2026-06-02 11:00:00,TX-ALPHA-01,86.17,53.51,70.54,3.035,335.47,40.59,1,0.9407,1
2026-06-02 12:00:00,TX-ALPHA-01,76.24,60.62,73.8,2.673,13.2,0.35,0,0.1077,0
2026-06-02 13:00:00,TX-ALPHA-01,77.56,58.68,73.75,2.837,11.28,2.23,0,0.142,0
2026-06-02 14:00:00,TX-ALPHA-01,76.78,57.62,70.42,2.855,19.31,0.23,0,0.1411,0
2026-06-02 15:00:00,TX-ALPHA-01,71.37,53.92,65.86,2.304,17.1,0.51,0,0.0867,0
2026-06-02 16:00:00,TX-ALPHA-01,64.78,54.36,66.79,2.474,18.48,0.47,0,0.0884,0
2026-06-02 17:00:00,TX-ALPHA-01,60.44,47.44,56.75,2.163,12.63,0.47,0,0.0894,0
2026-06-02 18:00:00,TX-ALPHA-01,51.68,48.8,55.83,2.281,12.81,2.32,0,0.2304,0
2026-06-02 19:00:00,TX-ALPHA-01,53.63,45.58,53.18,2.104,24.15,0.9,0,0.1783,0
2026-06-02 20:00:00,TX-ALPHA-01,61.44,41.82,52.69,2.08,31.42,0.71,0,0.0941,0
2026-06-02 21:00:00,TX-ALPHA-01,67.86,44.13,55.29,2.539,12.68,1.55,0,0.0278,0
2026-06-02 22:00:00,TX-ALPHA-01,72.45,42.93,54.11,2.434,30.65,0.41,0,0.0567,0
2026-06-02 23:00:00,TX-ALPHA-01,78.71,46.05,60.07,2.537,33.7,0.81,0,0.0612,0
2026-06-03 00:00:00,TX-ALPHA-01,76.6,40.32,55.07,2.646,16.28,0.29,0,0.0756,0
2026-06-03 01:00:00,TX-ALPHA-01,76.55,43.57,59.21,2.78,21.74,0.54,0,0.0591,0
2026-06-03 02:00:00,TX-ALPHA-01,79.73,37.83,55.49,2.661,10.27,2.35,0,0.2486,0
2026-06-03 03:00:00,TX-ALPHA-01,69.27,40.4,52.74,2.467,48.97,0.3,0,0.0699,0
2026-06-03 04:00:00,TX-ALPHA-01,65.63,36.11,46.24,2.05,21.56,0.54,0,0.2132,0
2026-06-03 05:00:00,TX-ALPHA-01,55.63,58.02,75.38,2.17,16.75,1.0,1,0.418,1
2026-06-03 06:00:00,TX-ALPHA-01,56.72,42.54,50.3,1.997,17.6,1.49,0,0.1192,0
2026-06-03 07:00:00,TX-ALPHA-01,62.54,38.15,50.9,2.716,19.84,1.36,0,0.1273,0
2026-06-03 08:00:00,TX-ALPHA-01,60.51,43.38,52.91,2.494,22.04,0.37,0,0.0774,0
2026-06-03 09:00:00,TX-ALPHA-01,59.98,53.32,62.98,2.292,34.66,2.51,0,0.1438,0
2026-06-03 10:00:00,TX-ALPHA-01,72.72,54.1,67.76,2.561,24.7,1.59,0,0.0571,0
2026-06-03 11:00:00,TX-ALPHA-01,82.39,60.05,76.25,2.488,73.37,0.36,0,0.2723,0
2026-06-03 12:00:00,TX-ALPHA-01,84.23,66.15,83.86,2.946,35.94,1.55,1,0.3751,0
2026-06-03 13:00:00,TX-ALPHA-01,68.01,55.02,67.73,2.241,14.33,0.75,0,0.0819,0
2026-06-03 14:00:00,TX-ALPHA-01,71.77,64.44,79.12,2.467,29.18,2.59,0,0.3123,0
2026-06-03 15:00:00,TX-ALPHA-01,63.02,53.36,64.18,2.125,19.64,0.55,0,0.0682,0
2026-06-03 16:00:00,TX-ALPHA-01,70.46,57.95,71.13,2.726,31.35,1.01,0,0.0735,0
2026-06-03 17:00:00,TX-ALPHA-01,60.79,51.08,58.98,2.238,11.93,0.37,0,0.1192,0
2026-06-03 18:00:00,TX-ALPHA-01,58.17,54.31,62.22,2.53,22.34,1.93,0,0.0832,0
2026-06-03 19:00:00,TX-ALPHA-01,49.06,49.51,53.86,2.229,41.39,0.7,0,0.2852,0
2026-06-03 20:00:00,TX-ALPHA-01,56.5,44.46,52.96,2.084,21.09,0.2,0,0.2025,0
2026-06-03 21:00:00,TX-ALPHA-01,70.48,44.14,55.99,2.629,23.32,1.92,0,0.1649,0
2026-06-03 22:00:00,TX-ALPHA-01,71.11,41.87,55.0,2.582,24.9,0.78,0,0.0286,0
2026-06-03 23:00:00,TX-ALPHA-01,71.49,42.44,56.6,2.624,10.53,1.77,0,0.0552,0
2026-06-04 00:00:00,TX-ALPHA-01,72.95,45.09,58.32,2.342,10.08,0.24,0,0.0456,0
2026-06-04 01:00:00,TX-ALPHA-01,82.45,46.28,62.74,2.812,21.05,0.43,0,0.2048,0
2026-06-04 02:00:00,TX-ALPHA-01,70.78,36.1,48.91,2.444,10.02,1.33,0,0.1455,0
2026-06-04 03:00:00,TX-ALPHA-01,65.12,35.45,47.64,2.325,17.47,1.32,0,0.1166,0
2026-06-04 04:00:00,TX-ALPHA-01,58.83,43.1,53.56,2.604,17.26,1.58,0,0.0796,0
2026-06-04 05:00:00,TX-ALPHA-01,51.77,39.26,47.35,2.248,13.92,1.82,0,0.1627,0
2026-06-04 06:00:00,TX-ALPHA-01,55.97,40.79,50.37,2.38,13.35,1.2,0,0.0701,0
2026-06-04 07:00:00,TX-ALPHA-01,57.29,43.61,51.92,2.419,46.43,0.36,0,0.1777,0
2026-06-04 08:00:00,TX-ALPHA-01,67.25,47.34,57.6,2.641,23.38,3.53,0,0.086,0
2026-06-04 09:00:00,TX-ALPHA-01,73.98,51.81,64.98,2.541,19.88,0.54,0,0.0497,0
2026-06-04 10:00:00,TX-ALPHA-01,70.63,51.19,64.07,2.498,11.99,0.92,0,0.0462,0
2026-06-04 11:00:00,TX-ALPHA-01,77.64,60.19,76.89,2.556,22.08,1.43,0,0.0899,0
2026-06-04 12:00:00,TX-ALPHA-01,75.14,61.24,73.52,2.763,19.53,1.84,0,0.1311,0
2026-06-04 13:00:00,TX-ALPHA-01,83.12,60.11,75.96,2.414,13.41,0.35,0,0.2339,0
2026-06-04 14:00:00,TX-ALPHA-01,77.88,61.8,79.05,2.684,10.45,0.95,0,0.1654,0
2026-06-04 15:00:00,TX-ALPHA-01,62.05,53.27,62.98,2.595,23.81,0.57,0,0.0835,0
2026-06-04 16:00:00,TX-ALPHA-01,58.31,59.31,67.84,2.305,25.84,0.61,0,0.1083,0
2026-06-04 17:00:00,TX-ALPHA-01,62.83,52.77,61.25,2.199,18.93,0.33,0,0.168,0
2026-06-04 18:00:00,TX-ALPHA-01,48.95,47.6,54.1,2.439,207.08,53.29,1,0.9118,1
2026-06-04 19:00:00,TX-ALPHA-01,52.53,47.94,55.88,2.236,40.37,0.78,0,0.1035,0
2026-06-04 20:00:00,TX-ALPHA-01,57.09,51.73,60.45,2.271,27.7,2.51,0,0.1136,0
2026-06-04 21:00:00,TX-ALPHA-01,68.73,45.97,56.89,2.571,26.13,1.04,0,0.023,0
2026-06-04 22:00:00,TX-ALPHA-01,75.07,45.17,58.74,2.744,15.94,1.52,0,0.0345,0
2026-06-04 23:00:00,TX-ALPHA-01,77.28,42.57,56.15,2.902,18.93,0.57,0,0.0586,0
2026-06-05 00:00:00,TX-ALPHA-01,84.04,46.4,60.45,3.171,10.39,0.58,0,0.2647,0
2026-06-05 01:00:00,TX-ALPHA-01,81.23,46.04,61.53,2.773,11.6,0.44,0,0.1141,0
2026-06-05 02:00:00,TX-ALPHA-01,79.32,43.09,57.2,2.583,13.0,0.36,0,0.0922,0
2026-06-05 03:00:00,TX-ALPHA-01,63.75,35.13,46.24,2.375,23.8,1.92,0,0.1695,0
2026-06-05 04:00:00,TX-ALPHA-01,68.25,37.52,49.08,2.678,26.52,0.98,0,0.1206,0
2026-06-05 05:00:00,TX-ALPHA-01,53.74,42.02,48.58,2.221,17.44,0.75,0,0.1363,0
2026-06-05 06:00:00,TX-ALPHA-01,61.56,40.0,49.68,2.267,11.34,0.37,0,0.1486,0
2026-06-05 07:00:00,TX-ALPHA-01,55.88,44.75,54.4,2.228,25.78,0.51,0,0.0545,0
2026-06-05 08:00:00,TX-ALPHA-01,62.93,46.26,57.21,2.149,13.36,0.28,0,0.0422,0
2026-06-05 09:00:00,TX-ALPHA-01,62.64,49.34,59.76,2.573,24.66,1.33,0,0.0535,0
2026-06-05 10:00:00,TX-ALPHA-01,77.58,62.3,76.76,2.166,23.77,2.21,0,0.1952,0
2026-06-05 11:00:00,TX-ALPHA-01,80.18,64.36,80.21,2.596,17.74,1.15,0,0.2149,0
2026-06-05 12:00:00,TX-ALPHA-01,81.9,63.42,79.31,2.412,17.63,0.57,0,0.2011,0
2026-06-05 13:00:00,TX-ALPHA-01,78.54,61.83,76.96,2.455,13.65,1.04,0,0.1358,0
2026-06-05 14:00:00,TX-ALPHA-01,79.71,60.93,75.75,2.669,20.68,1.55,0,0.2661,0
2026-06-05 15:00:00,TX-ALPHA-01,76.65,62.02,75.8,2.346,18.02,1.26,0,0.1136,0
2026-06-05 16:00:00,TX-ALPHA-01,50.89,53.0,60.4,2.232,11.74,0.68,0,0.2178,0
2026-06-05 17:00:00,TX-ALPHA-01,56.51,52.24,60.14,1.762,33.06,2.69,0,0.2783,0
2026-06-05 18:00:00,TX-ALPHA-01,62.3,47.22,58.22,2.381,25.19,0.26,0,0.0706,0
2026-06-05 19:00:00,TX-ALPHA-01,63.56,46.43,56.22,2.604,15.28,1.39,0,0.0526,0
2026-06-05 20:00:00,TX-ALPHA-01,64.13,48.35,58.76,2.304,24.32,1.03,0,0.0363,0
2026-06-05 21:00:00,TX-ALPHA-01,74.7,49.1,63.36,2.502,13.82,0.65,0,0.0189,0
2026-06-05 22:00:00,TX-ALPHA-01,72.64,42.34,55.28,2.564,31.1,1.68,0,0.0326,0
2026-06-05 23:00:00,TX-ALPHA-01,80.34,43.48,59.69,2.762,13.6,1.67,0,0.0929,0
2026-06-06 00:00:00,TX-ALPHA-01,90.41,42.62,62.52,2.962,12.62,0.21,0,0.3338,0
2026-06-06 01:00:00,TX-ALPHA-01,76.63,44.32,58.09,2.357,32.97,0.2,0,0.0658,0
2026-06-06 02:00:00,TX-ALPHA-01,76.34,38.54,53.45,2.5,94.13,0.68,0,0.2077,0
2026-06-06 03:00:00,TX-ALPHA-01,73.33,36.23,49.72,2.353,19.84,0.25,0,0.1581,0
2026-06-06 04:00:00,TX-ALPHA-01,66.08,38.54,48.98,2.389,10.91,1.43,0,0.1006,0
2026-06-06 05:00:00,TX-ALPHA-01,59.88,38.17,48.27,2.005,29.96,2.36,0,0.2753,0
2026-06-06 06:00:00,TX-ALPHA-01,57.33,67.73,86.59,2.541,13.06,0.53,1,0.5262,1
2026-06-06 07:00:00,TX-ALPHA-01,59.61,43.87,54.12,2.252,28.36,0.24,0,0.06,0
2026-06-06 08:00:00,TX-ALPHA-01,57.25,45.84,53.73,1.843,37.94,0.34,0,0.0945,0
2026-06-06 09:00:00,TX-ALPHA-01,75.63,53.84,68.61,2.383,21.92,1.91,0,0.0855,0
2026-06-06 10:00:00,TX-ALPHA-01,78.77,55.82,70.18,2.405,15.54,2.94,0,0.1568,0
2026-06-06 11:00:00,TX-ALPHA-01,84.84,60.33,76.64,2.448,21.73,0.84,0,0.1934,0
2026-06-06 12:00:00,TX-ALPHA-01,84.6,61.99,78.6,2.947,30.75,1.44,0,0.2401,0
2026-06-06 13:00:00,TX-ALPHA-01,78.18,59.27,73.04,2.699,14.43,0.86,0,0.1195,0
2026-06-06 14:00:00,TX-ALPHA-01,74.21,57.42,70.18,2.11,17.6,0.67,0,0.1154,0
2026-06-06 15:00:00,TX-ALPHA-01,64.58,52.16,60.26,2.575,22.24,0.96,0,0.1432,0
2026-06-06 16:00:00,TX-ALPHA-01,56.12,54.59,62.72,2.399,34.04,1.76,0,0.2147,0
2026-06-06 17:00:00,TX-ALPHA-01,56.51,58.62,67.78,2.273,10.45,0.39,0,0.2448,0
2026-06-06 18:00:00,TX-ALPHA-01,50.96,47.02,54.59,2.14,21.18,0.3,0,0.17,0
2026-06-06 19:00:00,TX-ALPHA-01,56.0,75.68,93.91,2.311,34.61,0.43,1,0.5912,1
2026-06-06 20:00:00,TX-ALPHA-01,56.76,71.98,90.19,2.424,20.78,0.39,1,0.496,1
2026-06-06 21:00:00,TX-ALPHA-01,68.38,44.92,55.26,2.145,13.86,0.31,0,0.0278,0
2026-06-06 22:00:00,TX-ALPHA-01,73.68,44.82,59.23,2.938,24.84,1.01,0,0.0526,0
2026-06-06 23:00:00,TX-ALPHA-01,80.44,43.08,57.31,2.393,77.69,0.81,0,0.2053,0
2026-06-07 00:00:00,TX-ALPHA-01,78.02,41.45,56.08,2.3,30.07,0.23,0,0.1087,0
2026-06-07 01:00:00,TX-ALPHA-01,79.29,39.85,54.58,2.556,54.38,1.44,0,0.1529,0
2026-06-07 02:00:00,TX-ALPHA-01,71.74,37.61,49.84,2.182,43.31,0.23,0,0.1617,0
2026-06-07 03:00:00,TX-ALPHA-01,115.73,36.87,73.53,1.774,23.41,1.74,1,0.8428,1
2026-06-07 04:00:00,TX-ALPHA-01,58.94,40.72,49.33,2.222,24.4,0.54,0,0.0781,0
2026-06-07 05:00:00,TX-ALPHA-01,56.43,40.07,49.09,2.318,24.04,1.59,0,0.1063,0
2026-06-07 06:00:00,TX-ALPHA-01,52.54,37.35,44.27,2.084,18.14,0.26,0,0.2604,0
2026-06-07 07:00:00,TX-ALPHA-01,58.44,45.77,55.74,2.299,24.22,1.23,0,0.0635,0
2026-06-07 08:00:00,TX-ALPHA-01,58.27,47.4,54.65,2.395,29.59,1.69,0,0.1484,0
2026-06-07 09:00:00,TX-ALPHA-01,71.18,48.61,61.58,2.533,47.27,0.51,0,0.0686,0
2026-06-07 10:00:00,TX-ALPHA-01,76.87,55.45,68.84,2.498,10.39,1.01,0,0.085,0
2026-06-07 11:00:00,TX-ALPHA-01,75.1,53.74,67.54,7.47,27.48,0.73,0,0.288,1
2026-06-07 12:00:00,TX-ALPHA-01,79.37,58.66,73.73,2.393,12.09,0.57,0,0.0962,0
2026-06-07 13:00:00,TX-ALPHA-01,78.27,61.3,78.7,2.248,12.76,1.66,0,0.1862,0
2026-06-07 14:00:00,TX-ALPHA-01,75.98,58.18,71.02,2.601,23.12,0.33,1,0.3866,0
2026-06-07 15:00:00,TX-ALPHA-01,70.92,60.38,72.3,2.568,38.71,2.1,0,0.1163,0
2026-06-07 16:00:00,TX-ALPHA-01,65.82,54.51,65.86,2.306,19.43,2.99,0,0.0813,0
2026-06-07 17:00:00,TX-ALPHA-01,55.29,52.19,58.84,2.582,23.96,0.56,0,0.2634,0
2026-06-07 18:00:00,TX-ALPHA-01,48.15,47.98,53.74,1.908,15.61,0.23,0,0.3297,0
2026-06-07 19:00:00,TX-ALPHA-01,59.83,54.37,63.45,2.48,29.81,1.46,0,0.0606,0
2026-06-07 20:00:00,TX-ALPHA-01,55.49,48.73,58.79,2.06,14.93,0.22,0,0.0798,0
2026-06-07 21:00:00,TX-ALPHA-01,75.02,49.22,61.85,2.536,28.57,0.39,0,0.0374,0
2026-06-07 22:00:00,TX-ALPHA-01,71.87,42.57,56.94,2.398,13.12,1.81,0,0.0698,0
2026-06-07 23:00:00,TX-ALPHA-01,81.6,46.33,62.64,2.321,11.92,1.22,0,0.2659,0
2026-06-08 00:00:00,TX-ALPHA-01,83.74,42.7,59.86,3.027,43.91,0.7,0,0.2626,0
2026-06-08 01:00:00,TX-ALPHA-01,78.92,41.65,56.51,2.749,17.11,1.1,0,0.1619,0
2026-06-08 02:00:00,TX-ALPHA-01,74.19,39.15,52.54,2.575,14.9,1.1,0,0.0662,0
2026-06-08 03:00:00,TX-ALPHA-01,65.86,40.15,51.64,2.219,32.1,1.77,0,0.1634,0
2026-06-08 04:00:00,TX-ALPHA-01,58.76,43.52,53.51,2.409,10.55,2.34,0,0.0923,0
2026-06-08 05:00:00,TX-ALPHA-01,64.53,36.91,48.27,2.48,21.77,1.13,0,0.1074,0
2026-06-08 06:00:00,TX-ALPHA-01,58.25,44.32,54.14,2.322,10.64,1.35,0,0.0458,0
2026-06-08 07:00:00,TX-ALPHA-01,55.33,42.58,49.94,2.102,18.58,0.53,0,0.1097,0
2026-06-08 08:00:00,TX-ALPHA-01,68.93,48.16,60.73,2.829,36.56,0.48,0,0.1187,0
2026-06-08 09:00:00,TX-ALPHA-01,69.77,50.08,63.21,2.81,79.39,0.81,0,0.1041,0
2026-06-08 10:00:00,TX-ALPHA-01,75.05,56.7,70.05,2.724,14.85,0.8,0,0.1293,0
2026-06-08 11:00:00,TX-ALPHA-01,80.4,62.98,78.57,2.571,27.57,0.75,0,0.1786,0
2026-06-08 12:00:00,TX-ALPHA-01,77.12,57.39,72.1,2.902,12.98,0.86,0,0.089,0
2026-06-08 13:00:00,TX-ALPHA-01,81.08,62.74,78.34,3.115,17.83,0.79,0,0.363,0
2026-06-08 14:00:00,TX-ALPHA-01,79.02,59.87,74.14,2.832,13.96,1.42,0,0.1234,0
2026-06-08 15:00:00,TX-ALPHA-01,71.72,54.92,67.27,2.585,20.84,0.43,0,0.0711,0
2026-06-08 16:00:00,TX-ALPHA-01,55.4,58.62,67.9,1.909,83.28,0.88,1,0.4223,0
2026-06-08 17:00:00,TX-ALPHA-01,59.3,53.98,63.95,2.608,18.37,1.66,0,0.0768,0
2026-06-08 18:00:00,TX-ALPHA-01,52.86,50.8,58.25,2.169,25.16,0.48,0,0.1863,0
2026-06-08 19:00:00,TX-ALPHA-01,61.53,45.24,55.66,2.272,17.46,0.81,0,0.0642,0
2026-06-08 20:00:00,TX-ALPHA-01,57.87,49.19,57.71,2.049,29.74,0.63,0,0.0713,0
2026-06-08 21:00:00,TX-ALPHA-01,63.81,39.79,49.27,2.377,401.38,54.41,1,0.9374,1
2026-06-08 22:00:00,TX-ALPHA-01,67.74,42.44,56.16,3.041,16.91,1.61,0,0.129,0
2026-06-08 23:00:00,TX-ALPHA-01,78.03,45.81,59.97,2.713,16.35,3.27,0,0.1705,0
2026-06-09 00:00:00,TX-ALPHA-01,86.7,40.07,58.17,2.93,352.05,20.56,1,0.9581,1
2026-06-09 01:00:00,TX-ALPHA-01,78.37,42.66,56.42,2.601,58.86,2.64,0,0.2736,0
2026-06-09 02:00:00,TX-ALPHA-01,77.79,43.51,57.93,2.506,51.07,3.41,0,0.2483,0
2026-06-09 03:00:00,TX-ALPHA-01,65.81,33.38,44.46,2.525,41.55,0.43,0,0.2061,0
2026-06-09 04:00:00,TX-ALPHA-01,56.61,41.42,50.48,2.147,33.08,3.91,0,0.176,0
2026-06-09 05:00:00,TX-ALPHA-01,56.51,41.25,50.36,1.96,13.43,0.26,0,0.0958,0
2026-06-09 06:00:00,TX-ALPHA-01,60.46,37.32,46.98,2.144,27.85,0.28,0,0.2117,0
2026-06-09 07:00:00,TX-ALPHA-01,62.49,42.91,51.57,2.359,10.03,0.3,0,0.1044,0
2026-06-09 08:00:00,TX-ALPHA-01,66.97,43.97,56.18,2.419,13.74,0.97,0,0.0016,0
2026-06-09 09:00:00,TX-ALPHA-01,75.92,52.95,67.08,2.836,18.65,0.41,0,0.1989,0
2026-06-09 10:00:00,TX-ALPHA-01,76.35,53.63,67.58,2.714,18.29,0.93,0,0.0731,0
2026-06-09 11:00:00,TX-ALPHA-01,76.99,57.38,72.1,2.088,14.38,0.48,0,0.1368,0
2026-06-09 12:00:00,TX-ALPHA-01,77.66,59.74,75.39,2.685,20.38,0.32,0,0.0946,0
2026-06-09 13:00:00,TX-ALPHA-01,78.33,86.92,109.23,2.604,13.54,1.2,1,0.6885,1
2026-06-09 14:00:00,TX-ALPHA-01,72.63,59.59,72.37,2.385,15.56,0.78,0,0.0607,0
2026-06-09 15:00:00,TX-ALPHA-01,65.63,54.22,66.07,2.383,41.35,0.6,0,0.1358,0
2026-06-09 16:00:00,TX-ALPHA-01,60.0,58.84,70.55,2.054,12.62,0.36,0,0.1153,0
2026-06-09 17:00:00,TX-ALPHA-01,63.65,51.24,61.95,2.04,24.04,0.25,0,0.0678,0
2026-06-09 18:00:00,TX-ALPHA-01,63.35,51.14,60.8,2.447,20.4,1.84,0,0.0976,0
2026-06-09 19:00:00,TX-ALPHA-01,53.01,47.38,54.83,1.897,43.9,0.77,0,0.1956,0
2026-06-09 20:00:00,TX-ALPHA-01,56.8,53.18,62.4,2.3,37.8,0.52,0,0.0865,0
2026-06-09 21:00:00,TX-ALPHA-01,66.31,42.41,53.47,2.582,21.71,0.26,0,0.0973,0
2026-06-09 22:00:00,TX-ALPHA-01,71.78,42.75,54.99,2.455,16.92,1.23,0,0.0813,0
2026-06-09 23:00:00,TX-ALPHA-01,86.77,42.1,60.27,2.887,20.95,1.09,0,0.3158,0
2026-06-10 00:00:00,TX-ALPHA-01,78.08,42.19,58.6,2.82,42.99,1.0,0,0.0945,0
2026-06-10 01:00:00,TX-ALPHA-01,82.06,40.82,57.6,2.646,20.61,0.26,0,0.1727,0
2026-06-10 02:00:00,TX-ALPHA-01,77.87,42.77,57.59,2.712,15.88,0.37,0,0.0819,0
2026-06-10 03:00:00,TX-ALPHA-01,69.97,58.94,78.33,2.746,18.49,0.44,1,0.4446,1
2026-06-10 04:00:00,TX-ALPHA-01,65.69,36.77,49.65,2.403,18.6,0.28,0,0.075,0
2026-06-10 05:00:00,TX-ALPHA-01,51.97,42.75,49.39,2.358,12.13,0.2,0,0.2408,0
2026-06-10 06:00:00,TX-ALPHA-01,49.1,38.73,45.96,1.869,22.64,0.58,0,0.3156,0
2026-06-10 07:00:00,TX-ALPHA-01,65.55,43.8,54.93,2.523,54.7,0.56,0,0.081,0
2026-06-10 08:00:00,TX-ALPHA-01,63.86,45.33,55.64,2.605,13.43,0.89,0,0.0284,0
2026-06-10 09:00:00,TX-ALPHA-01,65.9,48.66,60.31,2.413,42.01,1.64,0,0.1131,0
2026-06-10 10:00:00,TX-ALPHA-01,74.75,55.03,69.56,2.33,23.62,3.19,0,0.1609,0
2026-06-10 11:00:00,TX-ALPHA-01,79.1,57.2,73.85,2.905,52.4,0.31,0,0.1886,0
2026-06-10 12:00:00,TX-ALPHA-01,75.98,60.98,73.87,2.507,19.66,2.48,0,0.138,0
2026-06-10 13:00:00,TX-ALPHA-01,78.41,62.75,76.21,2.411,65.56,2.03,0,0.2127,0
2026-06-10 14:00:00,TX-ALPHA-01,79.75,64.19,79.53,2.615,18.74,0.6,0,0.2274,0
2026-06-10 15:00:00,TX-ALPHA-01,65.48,52.01,63.12,2.308,19.55,0.86,0,0.0515,0
2026-06-10 16:00:00,TX-ALPHA-01,60.2,52.88,63.63,2.553,29.99,1.83,0,0.2394,0
2026-06-10 17:00:00,TX-ALPHA-01,57.36,55.18,64.13,2.467,17.83,0.94,0,0.1158,0
2026-06-10 18:00:00,TX-ALPHA-01,52.75,54.53,64.86,2.603,23.33,0.98,0,0.1327,0
2026-06-10 19:00:00,TX-ALPHA-01,130.21,45.87,82.22,2.291,48.76,0.91,1,0.9124,1
2026-06-10 20:00:00,TX-ALPHA-01,59.25,45.77,55.37,1.84,24.32,0.77,0,0.1287,0
2026-06-10 21:00:00,TX-ALPHA-01,65.45,42.29,53.64,2.199,14.95,0.58,0,0.052,0
2026-06-10 22:00:00,TX-ALPHA-01,75.18,46.75,60.42,2.687,11.03,1.6,0,0.0759,0
2026-06-10 23:00:00,TX-ALPHA-01,73.51,38.76,50.95,2.752,38.27,1.93,0,0.1499,0
2026-06-11 00:00:00,TX-ALPHA-01,85.89,40.21,58.34,2.653,51.11,0.57,0,0.3125,0
2026-06-11 01:00:00,TX-ALPHA-01,79.52,40.6,57.82,2.557,30.87,0.89,0,0.1253,0
